,0
0,作詞：邱建豪、盧可沛、李建廷、郭哲成
1,作曲：盧可沛、邱建豪
2,<br/>
3,又沒帶鑰匙出門去
4,找不到左邊的耳機
5,錢包放哪裡 天開始下雨
6,雨傘迷路在剛剛的捷運
7,<br/>
8,手機電量紅色警訊
9,等不到他回我的訊息
10,暈船暈到南極 心變得冷冰冰
11,連行人都用眼神表達同情
12,<br/>
13,Today only 這運氣今日限定
14,大口深呼吸
15,還是要 還是要笑著告訴自己
16,<br/>
17,"Easy peasy, lemon squeezy"
18,跌倒的姿勢要帥氣
19,就算狼狽也要率性
20,"Easy peasy, lemon squeezy"
21,人生不如意十之八七
22,気持ち要鬆不要緊
23,<br/>
24,急剎車的公車司機
25,更多更詳盡歌詞 在 
26,喝兩口就打翻的多多綠
27,博愛座的阿姨 表情像燈籠魚
28,往波蘭的機票我立刻下訂
29,<br/>
30,Today only 這運氣今日限定
31,再一個深呼吸
32,邊哭邊笑 邊哭邊笑
33,這樣告訴自己
34,<br/>
35,"Easy peasy, lemon squeezy"
36,跌倒的姿勢要帥氣
37,就算狼狽也要率性
38,"Easy peasy, lemon squeezy"
39,人生不如意十之八七
40,気持ち要鬆不要緊
41,<br/>
42,"Easy peasy, lemon squeezy"
43,跌倒的姿勢要帥氣
44,就算狼狽也要率性
45,"Easy peasy, lemon squeezy"
46,人生不如意十之八七
47,気持ち要鬆不要緊
48,<br/>
49,"
"
50,作詞：邱建豪、盧可沛、李建廷、郭哲成
51,作曲：盧可沛、邱建豪
52,<br/>
53,又沒帶鑰匙出門去
54,找不到左邊的耳機
55,錢包放哪裡 天開始下雨
56,雨傘迷路在剛剛的捷運
57,<br/>
58,手機電量紅色警訊
59,等不到他回我的訊息
60,暈船暈到南極 心變得冷冰冰
61,連行人都用眼神表達同情
62,<br/>
63,Today only 這運氣今日限定
64,大口深呼吸
65,還是要 還是要笑著告訴自己
66,<br/>
67,"Easy peasy, lemon squeezy"
68,跌倒的姿勢要帥氣
69,就算狼狽也要率性
70,"Easy peasy, lemon squeezy"
71,人生不如意十之八七
72,気持ち要鬆不要緊
73,<br/>
74,急剎車的公車司機
75,更多更詳盡歌詞 在 
76,喝兩口就打翻的多多綠
77,博愛座的阿姨 表情像燈籠魚
78,往波蘭的機票我立刻下訂
79,<br/>
80,Today only 這運氣今日限定
81,再一個深呼吸
82,邊哭邊笑 邊哭邊笑
83,這樣告訴自己
84,<br/>
85,"Easy peasy, lemon squeezy"
86,跌倒的姿勢要帥氣
87,就算狼狽也要率性
88,"Easy peasy, lemon squeezy"
89,人生不如意十之八七
90,気持ち要鬆不要緊
91,<br/>
92,"Easy peasy, lemon squeezy"
93,跌倒的姿勢要帥氣
94,就算狼狽也要率性
95,"Easy peasy, lemon squeezy"
96,人生不如意十之八七
97,気持ち要鬆不要緊
98,<br/>
99,"
"
100,作詞：邱建豪、盧可沛、李建廷、郭哲成
101,作曲：盧可沛、邱建豪
102,<br/>
103,又沒帶鑰匙出門去
104,找不到左邊的耳機
105,錢包放哪裡 天開始下雨
106,雨傘迷路在剛剛的捷運
107,<br/>
108,手機電量紅色警訊
109,等不到他回我的訊息
110,暈船暈到南極 心變得冷冰冰
111,連行人都用眼神表達同情
112,<br/>
113,Today only 這運氣今日限定
114,大口深呼吸
115,還是要 還是要笑著告訴自己
116,<br/>
117,"Easy peasy, lemon squeezy"
118,跌倒的姿勢要帥氣
119,就算狼狽也要率性
120,"Easy peasy, lemon squeezy"
121,人生不如意十之八七
122,気持ち要鬆不要緊
123,<br/>
124,急剎車的公車司機
125,更多更詳盡歌詞 在 
126,喝兩口就打翻的多多綠
127,博愛座的阿姨 表情像燈籠魚
128,往波蘭的機票我立刻下訂
129,<br/>
130,Today only 這運氣今日限定
131,再一個深呼吸
132,邊哭邊笑 邊哭邊笑
133,這樣告訴自己
134,<br/>
135,"Easy peasy, lemon squeezy"
136,跌倒的姿勢要帥氣
137,就算狼狽也要率性
138,"Easy peasy, lemon squeezy"
139,人生不如意十之八七
140,気持ち要鬆不要緊
141,<br/>
142,"Easy peasy, lemon squeezy"
143,跌倒的姿勢要帥氣
144,就算狼狽也要率性
145,"Easy peasy, lemon squeezy"
146,人生不如意十之八七
147,気持ち要鬆不要緊
148,<br/>
149,"
"
150,作詞：邱建豪、盧可沛、李建廷、郭哲成
151,作曲：盧可沛、邱建豪
152,<br/>
153,又沒帶鑰匙出門去
154,找不到左邊的耳機
155,錢包放哪裡 天開始下雨
156,雨傘迷路在剛剛的捷運
157,<br/>
158,手機電量紅色警訊
159,等不到他回我的訊息
160,暈船暈到南極 心變得冷冰冰
161,連行人都用眼神表達同情
162,<br/>
163,Today only 這運氣今日限定
164,大口深呼吸
165,還是要 還是要笑著告訴自己
166,<br/>
167,"Easy peasy, lemon squeezy"
168,跌倒的姿勢要帥氣
169,就算狼狽也要率性
170,"Easy peasy, lemon squeezy"
171,人生不如意十之八七
172,気持ち要鬆不要緊
173,<br/>
174,急剎車的公車司機
175,更多更詳盡歌詞 在 
176,喝兩口就打翻的多多綠
177,博愛座的阿姨 表情像燈籠魚
178,往波蘭的機票我立刻下訂
179,<br/>
180,Today only 這運氣今日限定
181,再一個深呼吸
182,邊哭邊笑 邊哭邊笑
183,這樣告訴自己
184,<br/>
185,"Easy peasy, lemon squeezy"
186,跌倒的姿勢要帥氣
187,就算狼狽也要率性
188,"Easy peasy, lemon squeezy"
189,人生不如意十之八七
190,気持ち要鬆不要緊
191,<br/>
192,"Easy peasy, lemon squeezy"
193,跌倒的姿勢要帥氣
194,就算狼狽也要率性
195,"Easy peasy, lemon squeezy"
196,人生不如意十之八七
197,気持ち要鬆不要緊
198,<br/>
199,"
"
200,作詞：邱建豪、盧可沛、李建廷、郭哲成
201,作曲：盧可沛、邱建豪
202,<br/>
203,又沒帶鑰匙出門去
204,找不到左邊的耳機
205,錢包放哪裡 天開始下雨
206,雨傘迷路在剛剛的捷運
207,<br/>
208,手機電量紅色警訊
209,等不到他回我的訊息
210,暈船暈到南極 心變得冷冰冰
211,連行人都用眼神表達同情
212,<br/>
213,Today only 這運氣今日限定
214,大口深呼吸
215,還是要 還是要笑著告訴自己
216,<br/>
217,"Easy peasy, lemon squeezy"
218,跌倒的姿勢要帥氣
219,就算狼狽也要率性
220,"Easy peasy, lemon squeezy"
221,人生不如意十之八七
222,気持ち要鬆不要緊
223,<br/>
224,急剎車的公車司機
225,更多更詳盡歌詞 在 
226,喝兩口就打翻的多多綠
227,博愛座的阿姨 表情像燈籠魚
228,往波蘭的機票我立刻下訂
229,<br/>
230,Today only 這運氣今日限定
231,再一個深呼吸
232,邊哭邊笑 邊哭邊笑
233,這樣告訴自己
234,<br/>
235,"Easy peasy, lemon squeezy"
236,跌倒的姿勢要帥氣
237,就算狼狽也要率性
238,"Easy peasy, lemon squeezy"
239,人生不如意十之八七
240,気持ち要鬆不要緊
241,<br/>
242,"Easy peasy, lemon squeezy"
243,跌倒的姿勢要帥氣
244,就算狼狽也要率性
245,"Easy peasy, lemon squeezy"
246,人生不如意十之八七
247,気持ち要鬆不要緊
248,<br/>
249,"
"
250,作詞：邱建豪、盧可沛、李建廷、郭哲成
251,作曲：盧可沛、邱建豪
252,<br/>
253,又沒帶鑰匙出門去
254,找不到左邊的耳機
255,錢包放哪裡 天開始下雨
256,雨傘迷路在剛剛的捷運
257,<br/>
258,手機電量紅色警訊
259,等不到他回我的訊息
260,暈船暈到南極 心變得冷冰冰
261,連行人都用眼神表達同情
262,<br/>
263,Today only 這運氣今日限定
264,大口深呼吸
265,還是要 還是要笑著告訴自己
266,<br/>
267,"Easy peasy, lemon squeezy"
268,跌倒的姿勢要帥氣
269,就算狼狽也要率性
270,"Easy peasy, lemon squeezy"
271,人生不如意十之八七
272,気持ち要鬆不要緊
273,<br/>
274,急剎車的公車司機
275,更多更詳盡歌詞 在 
276,喝兩口就打翻的多多綠
277,博愛座的阿姨 表情像燈籠魚
278,往波蘭的機票我立刻下訂
279,<br/>
280,Today only 這運氣今日限定
281,再一個深呼吸
282,邊哭邊笑 邊哭邊笑
283,這樣告訴自己
284,<br/>
285,"Easy peasy, lemon squeezy"
286,跌倒的姿勢要帥氣
287,就算狼狽也要率性
288,"Easy peasy, lemon squeezy"
289,人生不如意十之八七
290,気持ち要鬆不要緊
291,<br/>
292,"Easy peasy, lemon squeezy"
293,跌倒的姿勢要帥氣
294,就算狼狽也要率性
295,"Easy peasy, lemon squeezy"
296,人生不如意十之八七
297,気持ち要鬆不要緊
298,<br/>
299,"
"
300,作詞：邱建豪、盧可沛、李建廷、郭哲成
301,作曲：盧可沛、邱建豪
302,<br/>
303,又沒帶鑰匙出門去
304,找不到左邊的耳機
305,錢包放哪裡 天開始下雨
306,雨傘迷路在剛剛的捷運
307,<br/>
308,手機電量紅色警訊
309,等不到他回我的訊息
310,暈船暈到南極 心變得冷冰冰
311,連行人都用眼神表達同情
312,<br/>
313,Today only 這運氣今日限定
314,大口深呼吸
315,還是要 還是要笑著告訴自己
316,<br/>
317,"Easy peasy, lemon squeezy"
318,跌倒的姿勢要帥氣
319,就算狼狽也要率性
320,"Easy peasy, lemon squeezy"
321,人生不如意十之八七
322,気持ち要鬆不要緊
323,<br/>
324,急剎車的公車司機
325,更多更詳盡歌詞 在 
326,喝兩口就打翻的多多綠
327,博愛座的阿姨 表情像燈籠魚
328,往波蘭的機票我立刻下訂
329,<br/>
330,Today only 這運氣今日限定
331,再一個深呼吸
332,邊哭邊笑 邊哭邊笑
333,這樣告訴自己
334,<br/>
335,"Easy peasy, lemon squeezy"
336,跌倒的姿勢要帥氣
337,就算狼狽也要率性
338,"Easy peasy, lemon squeezy"
339,人生不如意十之八七
340,気持ち要鬆不要緊
341,<br/>
342,"Easy peasy, lemon squeezy"
343,跌倒的姿勢要帥氣
344,就算狼狽也要率性
345,"Easy peasy, lemon squeezy"
346,人生不如意十之八七
347,気持ち要鬆不要緊
348,<br/>
349,"
"
350,作詞：邱建豪、盧可沛、李建廷、郭哲成
351,作曲：盧可沛、邱建豪
352,<br/>
353,又沒帶鑰匙出門去
354,找不到左邊的耳機
355,錢包放哪裡 天開始下雨
356,雨傘迷路在剛剛的捷運
357,<br/>
358,手機電量紅色警訊
359,等不到他回我的訊息
360,暈船暈到南極 心變得冷冰冰
361,連行人都用眼神表達同情
362,<br/>
363,Today only 這運氣今日限定
364,大口深呼吸
365,還是要 還是要笑著告訴自己
366,<br/>
367,"Easy peasy, lemon squeezy"
368,跌倒的姿勢要帥氣
369,就算狼狽也要率性
370,"Easy peasy, lemon squeezy"
371,人生不如意十之八七
372,気持ち要鬆不要緊
373,<br/>
374,急剎車的公車司機
375,更多更詳盡歌詞 在 
376,喝兩口就打翻的多多綠
377,博愛座的阿姨 表情像燈籠魚
378,往波蘭的機票我立刻下訂
379,<br/>
380,Today only 這運氣今日限定
381,再一個深呼吸
382,邊哭邊笑 邊哭邊笑
383,這樣告訴自己
384,<br/>
385,"Easy peasy, lemon squeezy"
386,跌倒的姿勢要帥氣
387,就算狼狽也要率性
388,"Easy peasy, lemon squeezy"
389,人生不如意十之八七
390,気持ち要鬆不要緊
391,<br/>
392,"Easy peasy, lemon squeezy"
393,跌倒的姿勢要帥氣
394,就算狼狽也要率性
395,"Easy peasy, lemon squeezy"
396,人生不如意十之八七
397,気持ち要鬆不要緊
398,<br/>
399,"
"
400,作詞：邱建豪、盧可沛、李建廷、郭哲成
401,作曲：盧可沛、邱建豪
402,<br/>
403,又沒帶鑰匙出門去
404,找不到左邊的耳機
405,錢包放哪裡 天開始下雨
406,雨傘迷路在剛剛的捷運
407,<br/>
408,手機電量紅色警訊
409,等不到他回我的訊息
410,暈船暈到南極 心變得冷冰冰
411,連行人都用眼神表達同情
412,<br/>
413,Today only 這運氣今日限定
414,大口深呼吸
415,還是要 還是要笑著告訴自己
416,<br/>
417,"Easy peasy, lemon squeezy"
418,跌倒的姿勢要帥氣
419,就算狼狽也要率性
420,"Easy peasy, lemon squeezy"
421,人生不如意十之八七
422,気持ち要鬆不要緊
423,<br/>
424,急剎車的公車司機
425,更多更詳盡歌詞 在 
426,喝兩口就打翻的多多綠
427,博愛座的阿姨 表情像燈籠魚
428,往波蘭的機票我立刻下訂
429,<br/>
430,Today only 這運氣今日限定
431,再一個深呼吸
432,邊哭邊笑 邊哭邊笑
433,這樣告訴自己
434,<br/>
435,"Easy peasy, lemon squeezy"
436,跌倒的姿勢要帥氣
437,就算狼狽也要率性
438,"Easy peasy, lemon squeezy"
439,人生不如意十之八七
440,気持ち要鬆不要緊
441,<br/>
442,"Easy peasy, lemon squeezy"
443,跌倒的姿勢要帥氣
444,就算狼狽也要率性
445,"Easy peasy, lemon squeezy"
446,人生不如意十之八七
447,気持ち要鬆不要緊
448,<br/>
449,"
"
450,作詞：邱建豪、盧可沛、李建廷、郭哲成
451,作曲：盧可沛、邱建豪
452,<br/>
453,又沒帶鑰匙出門去
454,找不到左邊的耳機
455,錢包放哪裡 天開始下雨
456,雨傘迷路在剛剛的捷運
457,<br/>
458,手機電量紅色警訊
459,等不到他回我的訊息
460,暈船暈到南極 心變得冷冰冰
461,連行人都用眼神表達同情
462,<br/>
463,Today only 這運氣今日限定
464,大口深呼吸
465,還是要 還是要笑著告訴自己
466,<br/>
467,"Easy peasy, lemon squeezy"
468,跌倒的姿勢要帥氣
469,就算狼狽也要率性
470,"Easy peasy, lemon squeezy"
471,人生不如意十之八七
472,気持ち要鬆不要緊
473,<br/>
474,急剎車的公車司機
475,更多更詳盡歌詞 在 
476,喝兩口就打翻的多多綠
477,博愛座的阿姨 表情像燈籠魚
478,往波蘭的機票我立刻下訂
479,<br/>
480,Today only 這運氣今日限定
481,再一個深呼吸
482,邊哭邊笑 邊哭邊笑
483,這樣告訴自己
484,<br/>
485,"Easy peasy, lemon squeezy"
486,跌倒的姿勢要帥氣
487,就算狼狽也要率性
488,"Easy peasy, lemon squeezy"
489,人生不如意十之八七
490,気持ち要鬆不要緊
491,<br/>
492,"Easy peasy, lemon squeezy"
493,跌倒的姿勢要帥氣
494,就算狼狽也要率性
495,"Easy peasy, lemon squeezy"
496,人生不如意十之八七
497,気持ち要鬆不要緊
498,<br/>
499,"
"
500,作詞：邱建豪、盧可沛、李建廷、郭哲成
501,作曲：盧可沛、邱建豪
502,<br/>
503,又沒帶鑰匙出門去
504,找不到左邊的耳機
505,錢包放哪裡 天開始下雨
506,雨傘迷路在剛剛的捷運
507,<br/>
508,手機電量紅色警訊
509,等不到他回我的訊息
510,暈船暈到南極 心變得冷冰冰
511,連行人都用眼神表達同情
512,<br/>
513,Today only 這運氣今日限定
514,大口深呼吸
515,還是要 還是要笑著告訴自己
516,<br/>
517,"Easy peasy, lemon squeezy"
518,跌倒的姿勢要帥氣
519,就算狼狽也要率性
520,"Easy peasy, lemon squeezy"
521,人生不如意十之八七
522,気持ち要鬆不要緊
523,<br/>
524,急剎車的公車司機
525,更多更詳盡歌詞 在 
526,喝兩口就打翻的多多綠
527,博愛座的阿姨 表情像燈籠魚
528,往波蘭的機票我立刻下訂
529,<br/>
530,Today only 這運氣今日限定
531,再一個深呼吸
532,邊哭邊笑 邊哭邊笑
533,這樣告訴自己
534,<br/>
535,"Easy peasy, lemon squeezy"
536,跌倒的姿勢要帥氣
537,就算狼狽也要率性
538,"Easy peasy, lemon squeezy"
539,人生不如意十之八七
540,気持ち要鬆不要緊
541,<br/>
542,"Easy peasy, lemon squeezy"
543,跌倒的姿勢要帥氣
544,就算狼狽也要率性
545,"Easy peasy, lemon squeezy"
546,人生不如意十之八七
547,気持ち要鬆不要緊
548,<br/>
549,"
"
550,作詞：邱建豪、盧可沛、李建廷、郭哲成
551,作曲：盧可沛、邱建豪
552,<br/>
553,又沒帶鑰匙出門去
554,找不到左邊的耳機
555,錢包放哪裡 天開始下雨
556,雨傘迷路在剛剛的捷運
557,<br/>
558,手機電量紅色警訊
559,等不到他回我的訊息
560,暈船暈到南極 心變得冷冰冰
561,連行人都用眼神表達同情
562,<br/>
563,Today only 這運氣今日限定
564,大口深呼吸
565,還是要 還是要笑著告訴自己
566,<br/>
567,"Easy peasy, lemon squeezy"
568,跌倒的姿勢要帥氣
569,就算狼狽也要率性
570,"Easy peasy, lemon squeezy"
571,人生不如意十之八七
572,気持ち要鬆不要緊
573,<br/>
574,急剎車的公車司機
575,更多更詳盡歌詞 在 
576,喝兩口就打翻的多多綠
577,博愛座的阿姨 表情像燈籠魚
578,往波蘭的機票我立刻下訂
579,<br/>
580,Today only 這運氣今日限定
581,再一個深呼吸
582,邊哭邊笑 邊哭邊笑
583,這樣告訴自己
584,<br/>
585,"Easy peasy, lemon squeezy"
586,跌倒的姿勢要帥氣
587,就算狼狽也要率性
588,"Easy peasy, lemon squeezy"
589,人生不如意十之八七
590,気持ち要鬆不要緊
591,<br/>
592,"Easy peasy, lemon squeezy"
593,跌倒的姿勢要帥氣
594,就算狼狽也要率性
595,"Easy peasy, lemon squeezy"
596,人生不如意十之八七
597,気持ち要鬆不要緊
598,<br/>
599,"
"
600,作詞：邱建豪、盧可沛、李建廷、郭哲成
601,作曲：盧可沛、邱建豪
602,<br/>
603,又沒帶鑰匙出門去
604,找不到左邊的耳機
605,錢包放哪裡 天開始下雨
606,雨傘迷路在剛剛的捷運
607,<br/>
608,手機電量紅色警訊
609,等不到他回我的訊息
610,暈船暈到南極 心變得冷冰冰
611,連行人都用眼神表達同情
612,<br/>
613,Today only 這運氣今日限定
614,大口深呼吸
615,還是要 還是要笑著告訴自己
616,<br/>
617,"Easy peasy, lemon squeezy"
618,跌倒的姿勢要帥氣
619,就算狼狽也要率性
620,"Easy peasy, lemon squeezy"
621,人生不如意十之八七
622,気持ち要鬆不要緊
623,<br/>
624,急剎車的公車司機
625,更多更詳盡歌詞 在 
626,喝兩口就打翻的多多綠
627,博愛座的阿姨 表情像燈籠魚
628,往波蘭的機票我立刻下訂
629,<br/>
630,Today only 這運氣今日限定
631,再一個深呼吸
632,邊哭邊笑 邊哭邊笑
633,這樣告訴自己
634,<br/>
635,"Easy peasy, lemon squeezy"
636,跌倒的姿勢要帥氣
637,就算狼狽也要率性
638,"Easy peasy, lemon squeezy"
639,人生不如意十之八七
640,気持ち要鬆不要緊
641,<br/>
642,"Easy peasy, lemon squeezy"
643,跌倒的姿勢要帥氣
644,就算狼狽也要率性
645,"Easy peasy, lemon squeezy"
646,人生不如意十之八七
647,気持ち要鬆不要緊
648,<br/>
649,"
"
650,作詞：邱建豪、盧可沛、李建廷、郭哲成
651,作曲：盧可沛、邱建豪
652,<br/>
653,又沒帶鑰匙出門去
654,找不到左邊的耳機
655,錢包放哪裡 天開始下雨
656,雨傘迷路在剛剛的捷運
657,<br/>
658,手機電量紅色警訊
659,等不到他回我的訊息
660,暈船暈到南極 心變得冷冰冰
661,連行人都用眼神表達同情
662,<br/>
663,Today only 這運氣今日限定
664,大口深呼吸
665,還是要 還是要笑著告訴自己
666,<br/>
667,"Easy peasy, lemon squeezy"
668,跌倒的姿勢要帥氣
669,就算狼狽也要率性
670,"Easy peasy, lemon squeezy"
671,人生不如意十之八七
672,気持ち要鬆不要緊
673,<br/>
674,急剎車的公車司機
