songs,seg,lyricist,specific
作詞：邱建豪作曲：邱建豪、郭哲成編曲：理想混蛋主唱：邱建豪沒有行李 沒有目的一個人旅行在無邊黑暗裡 直到耗盡勇氣卻無人回應忘記了呼吸直到誰的溫熱把我喚醒指引卻無法觸及那絕對的距離投射光芒的你我獨自盤旋在看得見你的軌道仰望著你一圈再一圈的圍繞我不能靠近 卻也不願遠離習慣在你影子裡遊戲我的孤寂你成為了定律我放棄了時間轉過了一天過了一季過一年你一如往常發著光 而我就這樣安靜地被遺忘更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我獨自盤旋在看得見你的軌道仰望著你一圈再一圈的圍繞我不能靠近 卻也不願遠離習慣在你影子裡遊戲我的孤寂你成為了定律我放棄了時間轉過了一天過了一季過一年你一如往常發著光 而我就這樣安靜地被遺忘我沉睡時幻想 你就在我身旁清醒卻發現 你仍然遠方你聽見了嗎 我在這裡歌唱一個人一個星球等待你一個回答也許有天時間把願望都埋葬只留下我為你踱步的殘響你一如往常發著光 而我就這樣安靜地被遺忘滿足地被遺忘幸福的被遺忘[00:00.00]理想混蛋Bestards - 行星[00:15.00][00:20.66][00:40.80][01:00.48][01:19.29][02:23.34][02:31.32][02:47.71][03:07.89][04:00.00][00:27.90]沒有行李 沒有目的[00:37.40]一個人旅行[00:47.21]在無邊黑暗裡 直到耗盡勇氣[00:56.02]卻無人回應[01:05.40]忘記了呼吸[01:10.20]直到誰的溫熱 把我喚醒[01:25.00]指引卻無法觸及[01:30.42]那絕對的距離[01:35.19]投射光芒的你[01:42.19][03:19.00]我獨自盤旋在看得見你的軌道[01:46.90][03:23.90]仰望著你一圈再一圈的圍繞[01:51.73][03:29.14]我不能靠近 卻也不願遠離[01:56.69][03:33.86]習慣在你影子裡遊戲我的孤寂[02:01.10][03:38.77]你成為了定律我放棄了時間[02:06.20][03:43.76]轉過了一天過了一季過一年[02:11.10][03:48.64]你一如往常發著光而我就這樣[02:18.32][03:55.81]安靜地被遺忘[04:08.14]我沉睡時幻想 你就在我身旁[04:12.48]清醒卻發現 你仍然遠方[04:17.90]你聽見了嗎 我在這裡歌唱[04:22.35]一個人一個星球等待你一個回答[04:27.70]也許有天時間把願望都埋葬[04:32.45]只留下我為你踱步的殘響[04:36.90]你一如往常發著光而我就這樣[04:44.50]安靜地被遺忘[04:49.34]滿足地被遺忘[04:54.00]幸福的被遺忘[04:59.87][05:10.40][05:30.00]-END- 感謝 未命名的翼  提供動態歌詞,"['一個', '遺忘', '發著光', '這樣', '安靜', '地被', '沒有', '一圈', '一如', '往常', '獨自盤', '軌道', '圍繞', '不願', '遠離', '習慣', '裡遊戲', '成為', '我放棄', '時間', '轉過', '過了', '孤寂', '一季', '仰望', '無邊', '耗盡', '勇氣', '無人', '回應', '忘記', '溫熱', '喚醒', '無法觸', '那絕', '距離', '發現', '遠方', '這裡', '許有', '天時間', '願望', '殘響', '滿足', '直到', '定律', '影子', '靠近', '星球', '踱步', '沉睡', '投射', '混蛋', '埋葬', '歌唱', '指引', '一天', '光芒', '旅行', '一年', '身旁', '行李', '幻想', '清醒', '黑暗', '呼吸', '幸福', '理想', '未命名', '等待', '不能', 'Mojim', 'Bestards', 'END', '感謝', '動態', '留下', '回答', '目的', '忘我', '仍然', '行星', '提供']",邱建豪,邱建豪
演唱：邱建豪作詞：邱建豪作曲：邱建豪編曲：理想混蛋不是因為天氣晴朗才愛你不是因為看見星星才想你不是因為剛好沒有別的事才一直一直一直在腦海裡複習擁抱你 什麼角度最合適其實我 常會想像我們老了的樣子左邊牽著手 右手拉小狗可能還有很多小孩子其實我 不是因為好天氣才這麼說牽著你走過大雨盛開水花的路口也是我一樣喜歡的夢更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 不是因為天氣晴朗才愛你不是因為看見星星才想你不是因為剛好沒有別的事才一直一直一直在腦海裡複習擁抱你 什麼角度最合適其實我 常會想像我們老了的樣子左邊牽著手 右手拉小狗可能還有很多小孩子其實我 不是因為好天氣才這麼說牽著你走過大雨盛開水花的路口也是我一樣喜歡的夢牽著你走過大雨盛開水花的路口也是我一樣喜歡的夢,"['因為', '天氣', '牽著', '走過', '盛開', '一樣', '喜歡', '不是', '水花', '一直', '大雨', '路口', '看見', '剛好', '沒有別', '腦海裡', '習擁', '什麼', '最合', '適其實', '常會', '我們', '樣子', '左邊', '牽著手', '還有', '其實', '這麼', '晴朗', '小狗', '想像', '星星', '小孩子', '右手', '角度', 'Mojim', '很多', '混蛋', '演唱', '可能', '理想']",邱建豪,邱建豪
作詞：邱建豪作曲：邱建豪編曲：理想混蛋驕傲的活著 向晚的天空裡飛身體還殘留著 土壤氣味高樓天際線 尖銳的割開夕陽的窗簾卻透不進光線有沒有一座花園 很美光臘樹盛開鮮豔霧霾中睜開雙眼 卻看見城市燈火炙烈看我往前飛 看我一角劈開夏天劈開了 水泥和鋼鐵飛回童年的鄉間跟我往前飛 在翅膀都風乾以前能飛多遠 就飛更遠一點去找回綠色的夏天成群的孩子 低著頭越過斑馬線誰偷走了他們 頭上的星點無止盡改變 今日的柏油昨日的森野前進還是後退有沒有一座花園 很美更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 光臘樹盛開鮮豔霧霾中睜開雙眼 卻看見城市燈火炙烈看我往前飛 看我一角劈開夏天劈開了 水泥和鋼鐵飛回童年的鄉間跟我往前飛 在翅膀都風乾以前能飛多遠 就飛更遠一點去找回綠色的夏天小時候幻想穿上了鎧甲去冒險去尋找一座藏著寶藏的森林裡我們跳舞 我們遊戲著 笑臉長大卻發現世界不如想像完美大人說砍下樹木就會流出金錢我的夢卻要破碎不能妥協看我往前飛 看我一角劈開夏天劈開了 水泥和鋼鐵立起旗桿挑戰整個世界跟我往前飛 在翅膀都風乾以前能飛多遠 就飛更遠一點去找回綠色的夏天,"['劈開', '往前', '夏天', '風乾', '飛多遠', '一點', '綠色', '找回', '一角', '花園', '開鮮', '中睜開', '雙眼', '燈火炙烈', '鋼鐵飛', '鄉間', '翅膀', '水泥', '一座', '童年', '以前', '驕傲', '活著', '裡飛', '身體', '還殘留', '氣味', '高樓', '天際線', '尖銳', '開夕陽', '窗簾', '進光線', '美光臘', '樹盛', '低著頭', '越過', '斑馬線', '他們', '頭上', '星點', '無止', '改變', '森野前', '進還', 'Mojim', '光臘樹盛', '小時候', '鎧甲去', '冒險', '尋找', '藏著', '寶藏', '裡我們', '我們', '遊戲', '臉長', '發現', '下樹木', '金錢', '妥協', '鋼鐵立', '起旗桿', '挑戰', '整個', '向晚', '柏油', '偷走', '很美', '城市', '混蛋', '世界', '跳舞', '想像', '破碎', '成群', '幻想', '完美', '天空', '流出', '土壤', '理想', '森林', '大人', '不如', '孩子', '昨日', '今日', '不能']",邱建豪,邱建豪
作詞：邱建豪作曲：邱建豪編曲：理想混蛋怎麼結束一個夜不成眠的夏天遺落的都已漸遠再強揹都是累贅怎麼結束一個支離破碎的夏天珍貴的都已不見你都已不見我無從找起愛過你的理由預設的美好卻成失蹤人口更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 你沉默往黑夜逃走 懦弱過了頭逆轉的時鐘蒸發你的下落我無從找起愛過你的理由停格畫面零碎成記憶煙火盛放了夏夜空 燃燒 然後墜落餘燼再沒有你一絲挽留也沒有我強求我已想不起你的表情 在你走的時候是掙扎得難以形容還是輕易得無地自容,"['不見', '起愛過', '夏天', '理由', '怎麼', '結束', '一個', '遺落', '已漸', '珍貴', '預設', '卻成', 'Mojim', '過了', '頭逆轉', '時鐘', '蒸發', '停格', '畫面', '成記憶', '煙火', '燃燒', '然後墜', '落餘燼', '一絲', '強求', '時候', '掙扎得', '難以', '還是', '無地', '自容', '成眠', '盛放', '易得', '零碎', '想不起', '懦弱', '挽留', '混蛋', '夜空', '破碎', '黑夜', '下落', '形容', '美好', '逃走', '沉默', '表情', '理想', '人口']",邱建豪,邱建豪
作詞：邱建豪作曲：邱建豪時光暫停 當你緩緩走近深邃的微笑是精靈的邀請屏住呼吸 我們小心翼翼擺放天平上完美劑量的濃郁我不是太擅長不著邊際的遊戲卻因你沉溺更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 平衡木上的愛情你左搖我右晃暈眩的香氣往後一步曖昧卻和諧的距離往前一步心就貼緊平衡木上我和你來回時而欲墜幸運總時而降臨我的膽小透明 乘著你溫柔勇氣一躍 安全降落愛情,"['愛情', '平衡木', '一步', '時光', '暫停', '當你', '緩緩', '精靈', '我們', '擺放', '劑量', '濃郁', '擅長', '不著', '邊際', '遊戲', 'Mojim', '左搖', '右晃暈', '香氣', '曖昧', '和諧', '距離', '回時', '幸運', '總時', '降臨', '膽小', '乘著', '溫柔', '勇氣', '一躍', '沉溺', '屏住', '天平', '深邃', '降落', '小心翼翼', '走近', '往前', '完美', '透明', '呼吸', '微笑', '安全', '不是']",邱建豪,邱建豪
"作詞：邱建豪作曲：盧可沛編曲：盧可沛Hey, my dear star喜歡看你笑容模樣有些話 不必用言語表達一個微笑就是最好解答Hey, my dear star有時候也許感到徬徨我知道 花花世界太複雜我願意陪著你一起去闖親愛的你你是道獨一無二的星光你無聲領航 愛的方向我因你學會驕傲堅強親愛的你更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我要給你一個大大的擁抱黑夜過去 總會破曉讓我牽著你翱翔 每一刻寬廣Hey, my dear star喜歡看你笑容模樣我知道 花花世界太複雜我願意陪著你一起去闖親愛的你你是道獨一無二的星光無聲領航 愛的方向我為你感到驕傲堅強親愛的你我要給你一個大大的擁抱黑夜過去 總會破曉讓我牽著你翱翔 每一刻","['愛的', 'Hey', 'my', 'dear', 'star', '一個', '每一刻', '喜歡', '模樣', '雜我', '願意', '闖親', '獨一無二', '無聲', '領航', '驕傲', '堅強', '親愛的', '要給', '擁抱', '過去', '總會', '破曉讓', '牽著', '花花世界', '翱翔', '大大的', '星光', '黑夜', '笑容', '徬徨', '用言語', '表達', '時候', '也許', '學會', 'Mojim', '寬廣', '方向', '感到', '一起', '解答', '知道', '微笑', '不必', '最好', '有些', '就是']",邱建豪,邱建豪
作詞：邱建豪作曲：邱建豪一連下了好幾天的雨月光照著你濕透的身影雨滴一點一滴 眼淚一點一滴沖走了你微笑的表情一連下了好幾星期的雨發霉的房間裡 開出一片寬廣森林你在樹下休息 偶爾翻閱些回憶偶爾只靜靜等待著雨停讓我陪著你在這雨中旅行有時壞天氣沒有什麼原因生命 總要人一再地練習練習勇敢 練習把疼痛忘記我會陪著你在這雨中旅行直到微笑再次變得容易我還會 在季風睡去的夜晚更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 夢見你說 明天就要放晴一連下了好幾個月的雨麻木的心就像 摔落泥濘的紙飛機雨為什麼不停 天空沒有回應你不再哭 學著相信自己讓我陪著你在這雨中旅行有時壞天氣沒有什麼原因生命 總要人一再地練習練習勇敢 練習把疼痛忘記我會陪著你在這雨中旅行直到微笑再次變得容易我還會 在季風睡去的夜晚夢見你說 明天就要放晴[00:00.00]理想混蛋[00:10.00]滯留鋒[00:15.00]作詞：邱建豪[00:18.00]作曲：邱建豪[00:20.00][00:22.00]一連下了好幾天的雨[00:35.90]月光照著你濕透的身影[00:48.80]雨滴一點一滴 眼淚一點一滴[00:56.00]沖走了你微笑的表情[01:10.00][01:16.50]一連下了好幾星期的雨[01:29.90]發霉的房間裡 開出一片寬廣森林[01:42.50]你在樹下休息 偶爾翻閱些回憶[01:49.90]偶爾只靜靜等待著雨停[01:55.00][02:00.00]讓我陪著你在這雨中旅行[02:07.90]有時壞天氣沒有什麼原因[02:14.90]生命 總要人一再地練習[02:20.00]練習勇敢 練習把疼痛忘記[02:27.00][02:29.10]我會陪著你在這雨中旅行[02:36.50]直到微笑再次變得容易[02:43.00]我還會 在季風睡去的夜晚[02:49.00]夢見你說 明天就要放晴[03:10.00][03:12.00]一連下了好幾個月的雨[03:25.50]麻木的心就像 摔落泥濘的紙飛機[03:38.10]雨為什麼不停 天空沒有回應[03:45.00]你不再哭 學著相信自己[03:54.00][03:56.00]讓我陪著你在這雨中旅行[04:03.50]有時壞天氣沒有什麼原因[04:10.30]生命 總要人一再地練習[04:15.80]練習勇敢 練習把疼痛忘記[04:23.00][04:25.00]我會陪著你在這雨中旅行[04:32.00]直到微笑再次變得容易[04:38.90]我還會 在季風睡去的夜晚[04:44.50]夢見你說 明天就要放晴[04:53.00] 感謝 楊羽  提供動態歌詞 感謝 雞丁  修正歌詞,"['這雨中', '一連下', '沒有', '什麼', '練習', '旅行', '一點', '時壞', '天氣', '總要', '忘記', '我會', '變得', '還會', '季風', '夢見', '放晴', '微笑', '一滴', '勇敢', '一再', '夜晚', '疼痛', '明天', '生命', '幾天', '濕透', '眼淚', '發霉', '房間裡', '開出', '寬廣', '樹下', '偶爾翻', '閱些', '回憶', '偶爾', '只靜靜', '地練', '習練習', '幾個', '摔落', '泥濘', '回應', '學著', '地練習', '感謝', '直到', '就要', '再次', '容易', '雨滴', '原因', '光照', '麻木', '星期', '身影', '天空', '表情', '不停', '森林', '休息', '等待', '著雨', 'Mojim', '紙飛', '機雨為', '滯留鋒', '著雨停', '紙飛機', '雨為', '楊羽', '動態', '相信', '一片', '不再', '混蛋', '修正', '自己', '理想', '提供']",邱建豪,邱建豪
作詞：邱建豪作曲：盧可沛我沒有忘記怎麼善良只是學會在相信之前多一點武裝我沒有忘記何謂互相只是習慣在擁抱之前多些觀察什麼是真的 什麼是假的什麼是對 什麼是錯長大後的我們 什麼都不知道了我是來自天真世界的一名叛徒誰會告訴我這是正確的路隱藏你的笑 你的哭喜怒哀樂讓人看不清楚那就對了 這就是大人必備的技術我是來自天真世界的一名叛徒勉強地融入 這謊言堆砌的國度掩飾每個錯 每個誤更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 試圖成為人群中最安全的眾數好不孤獨時間 你為何帶來成長時間 你為何帶來成長時間 你為何帶來成長又想狠狠帶走 最簡單的嚮往不想再做天真世界的一名叛徒若沒有了自己 還有什麼好在乎只想記住怎麼笑 怎麼哭讓每個夢每滴淚都銘心刻骨真的夠了 成人世界虛偽得讓我想吐不想再做天真世界的一名叛徒不願再接受 名為成熟的束縛時代再殘酷 再荒蕪這一刻我們終於踏上歸途不再辜負 與生俱來的自由天賦,"['什麼', '怎麼', '時間', '何帶', '成長', '叛徒', '天真', '一名', '每個', '世界', '忘記', '學會', '多一點', '武裝', '記何謂', '習慣', '擁抱', '觀察什麼', '錯長', '我們', '告訴', '這是', '正確', '隱藏', '哀樂', '必備', '技術', '勉強', '這謊', '國度', '掩飾', '每個誤', 'Mojim', '試圖', '成為', '眾數', '孤獨', '簡單', '還有', '記住', '每滴', '銘心', '夠了', '虛偽', '不願', '名為', '束縛', '時代', '殘酷', '荒蕪', '我們終', '歸途', '辜負', '生俱來', '天賦', '不想', '刻骨', '真的', '喜怒', '之前', '堆砌', '多些', '看不清楚', '在乎', '只是', '只想', '融入', '踏上', '善良', '一刻', '成人', '狠狠', '人群', '大人', '互相', '成熟', '自由', '相信', '安全', '不再', '接受', '知道', '就是', '自己']",邱建豪,邱建豪
作詞：邱建豪作曲：盧可沛我沒有忘記怎麼善良只是學會在相信之前多一點武裝我沒有忘記何謂互相只是習慣在擁抱之前多些觀察什麼是真的 什麼是假的什麼是對 什麼是錯長大後的我們 什麼都不知道了我是來自天真世界的一名叛徒誰會告訴我這是正確的路隱藏你的笑 你的哭喜怒哀樂讓人看不清楚那就對了 這就是大人必備的技術我是來自天真世界的一名叛徒勉強地融入 這謊言堆砌的國度掩飾每個錯 每個誤試圖成為人群中最安全的眾數好不孤獨什麼是真的 什麼是假的什麼是對 什麼是錯長大後的我們 什麼都不知道了更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 我是來自天真世界的一名叛徒誰會告訴我這是正確的路隱藏你的笑 你的哭喜怒哀樂讓人看不清楚那就對了 這就是大人必備的技術我是來自天真世界的一名叛徒勉強地融入 這謊言堆砌的國度掩飾每個錯 每個誤試圖成為人群中最安全的眾數好不孤獨時間 你為何帶來成長又想狠狠帶走 最簡單的嚮往不想再做天真世界的一名叛徒若沒有了自己 還有什麼好在乎只想記住怎麼笑 怎麼哭讓每個夢每滴淚都銘心刻骨真的夠了 成人世界虛偽得讓我想吐不想再做天真世界的一名叛徒不願再接受 名為成熟的束縛時代再殘酷 再荒蕪這一刻我們終於踏上歸途不再辜負 與生俱來的自由天賦,"['什麼', '每個', '叛徒', '天真', '一名', '怎麼', '世界', '錯長', '我們', '告訴', '這是', '正確', '隱藏', '哀樂', '必備', '技術', '勉強', '這謊', '國度', '掩飾', '誤試', '圖成', '眾數', '喜怒', '堆砌', '看不清楚', '真的', '融入', '人群', '大人', '忘記', '學會', '多一點', '武裝', '記何謂', '習慣', '擁抱', '觀察什麼', '獨什麼', 'Mojim', '孤獨', '時間', '何帶', '成長', '簡單', '還有', '記住', '每滴', '銘心', '夠了', '虛偽', '不願', '名為', '束縛', '時代', '殘酷', '荒蕪', '我們終', '歸途', '辜負', '生俱來', '天賦', '不想', '刻骨', '安全', '之前', '多些', '在乎', '只是', '只想', '踏上', '善良', '知道', '一刻', '成人', '狠狠', '就是', '互相', '成熟', '自由', '相信', '不再', '接受', '自己']",邱建豪,邱建豪
feat. 廖文強作詞：邱建豪、郭哲成作曲：邱建豪、郭哲成你孤獨地冒險 任由寂寞氣味瀰漫盤旋你說你不怕黑 已習慣夜色相陪遊走城市邊界 遍尋不著一個擁抱 溫柔以對努力勉強的笑臉 越傷痕累累再勇敢一點 潰堤的淚水 不代表妥協別讓自卑淹沒 你所有的視線倔強跨越那些不完美再坦然一些 白晝或黑夜 都值得紀念去細數故事裡 無論甜美心碎傷口也能開出燦爛的玫瑰誰再一次否決 再一次用謊言掩蓋歧見不安於世的罪 是驕傲的註解更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 從現在起拒絕 一張張偽善臉孔 全都被打碎迷霧散去的原野將風光明媚再勇敢一點 潰堤的淚水 不代表妥協別讓自卑淹沒 你所有的視線倔強跨越那些不完美再坦然一些 白晝或黑夜 都值得紀念去細數故事裡 無論甜美心碎傷口也能開出燦爛的玫瑰我喜歡你無畏的雙眼再勇敢一點 潰堤的淚水宣言了明天曾劇烈的疼痛都會蛻變我們不完美 所以完美再坦然一些 白晝或黑夜都值得紀念去珍惜故事裡 所有甜美心碎傷口已然開出燦爛的玫瑰,"['一點', '潰堤', '淚水', '白晝', '紀念', '傷口', '開出', '燦爛', '心碎', '完美', '甜美', '坦然', '玫瑰', '黑夜', '妥協別', '視線', '倔強', '細數', '無論', '勇敢', '自卑', '故事', '值得', '跨越', '所有', '一些', 'feat', '獨地', '冒險', '氣味', '漫盤', '已習慣', '遊走', '邊界', '尋不著', '一個', '擁抱', '溫柔', '勉強', '越傷', '否決', '謊言', '掩蓋', '歧見', '驕傲', 'Mojim', '從現', '拒絕', '一張', '張偽善', '臉孔', '迷霧', '將風光', '喜歡', '無畏', '雙眼', '曾劇烈', '蛻變', '我們', '代表', '明媚', '那些', '累累', '任由', '相陪', '一次', '打碎', '珍惜', '原野', '已然', '夜色', '寂寞', '宣言', '疼痛', '不安', '全都', '不怕', '明天', '努力', '城市', '所以']",邱建豪、郭哲成,邱建豪
作詞：邱建豪作曲：盧可沛白日裡的螢火蟲照著鏡子看著自己認不得笑得再五光十色好不獨特空有對翅膀又如何溫室裡的玫瑰再鮮豔不過調色盤上一滴血演著孤芳自賞自艾自憐更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網 再精彩不過是類似你的左邊右邊還不如當隻撲火的蝶他們都說你錯了 你不該撲火的沒什麼 不過是有點特別還不如當隻撲火的蝶自得其樂好過無人知曉的凋萎沒什麼 我就是有點特別沒什麼 我就是不想隨便地告別,"['不過', '沒什麼', '有點', '自艾', '凋萎', '不如', '裡的', '螢火蟲照', '著鏡子', '看著', '獨特空', '溫室裡', '再鮮', '調色盤', '血演', '孤芳', '自賞', '自憐', 'Mojim', '類似', '左邊', '邊還', '他們', '特別還', '其樂好', '過無人', '知曉', '特別', '隨便', '告別', '五光十色', '自得', '白日', '一滴', '玫瑰', '翅膀', '精彩', '就是', '不想', '不得', '如何', '自己']",邱建豪,邱建豪
